k	Pes.	Ex.Pes.	Eli.	Rnd.
0	10	10	10	10
1	10	10	10	10
2	10	10	10	10
3	10	10	10	10
4	9	8.75	8.75	10
5	8.75	8.68	8.72	9.99
6	8.59	8.57	8.67	9.96
7	8.45	8.46	8.56	9.92
8	8.26	8.32	8.3	9.89
9	8.02	8.15	8.25	9.85
10	7.8	7.95	8.14	9.79
11	7.59	7.76	7.91	9.71
12	7.37	7.58	7.58	9.65
13	7.19	7.39	7.55	9.58
14	7.01	7.2	7.44	9.5
15	6.82	7.02	7.22	9.44
16	6.64	6.85	6.94	9.35
17	6.44	6.7	6.91	9.27
18	6.25	6.51	6.82	9.19
19	6.04	6.37	6.62	9.12
20	5.85	6.17	6.32	9.06
21	5.68	6.02	6.28	8.99
22	5.5	5.86	6.18	8.9
23	5.34	5.69	6.01	8.81
24	5.12	5.49	5.77	8.73
25	4.93	5.29	5.74	8.62
26	4.75	5.14	5.63	8.54
27	4.53	4.97	5.42	8.46
28	4.35	4.8	5.14	8.38
29	4.19	4.62	5.1	8.28
30	4	4.46	5.03	8.17
31	3.82	4.31	4.86	8.08
32	3.67	4.12	4.58	7.99
33	3.52	3.99	4.53	7.91
34	3.34	3.82	4.42	7.84
35	3.22	3.69	4.23	7.78
36	3.1	3.52	3.94	7.7
37	2.99	3.36	3.9	7.63
38	2.86	3.25	3.81	7.54
39	2.71	3.11	3.65	7.42
40	2.57	2.98	3.37	7.35
41	2.45	2.86	3.33	7.26
42	2.34	2.72	3.29	7.19
43	2.23	2.58	3.2	7.11
44	2.12	2.43	3.14	7.03
45	2	2.31	3.08	6.94
46	1.89	2.21	2.98	6.86
47	1.78	2.09	2.89	6.77
48	1.66	1.97	2.82	6.69
49	1.55	1.84	2.74	6.62
50	1.47	1.72	2.68	6.53
51	1.4	1.62	2.63	6.44
52	1.32	1.5	2.58	6.35
53	1.22	1.41	2.53	6.27
54	1.14	1.31	2.49	6.19
55	1.06	1.19	2.45	6.1
56	0.98	1.1	2.41	6.02
57	0.9	1.01	2.38	5.95
58	0.84	0.93	2.36	5.88
59	0.77	0.84	2.34	5.83
60	0.67	0.77	2.33	5.74
61	0.6	0.7	2.32	5.65
62	0.54	0.65	2.31	5.57
63	0.49	0.57	2.3	5.47
64	0.45	0.51	2.3	5.37
65	0.4	0.47	2.29	5.31
66	0.35	0.41	2.29	5.24
67	0.31	0.35	2.29	5.13
68	0.26	0.32	2.29	5.05
69	0.22	0.29	2.28	4.96
70	0.19	0.26	2.28	4.87
71	0.17	0.24	2.28	4.77
72	0.14	0.21	2.28	4.71
73	0.12	0.18	2.28	4.64
74	0.1	0.16	2.28	4.55
75	0.08	0.14	2.28	4.46
76	0.06	0.11	2.28	4.38
77	0.05	0.09	2.28	4.3
78	0.04	0.08	2.28	4.25
79	0.03	0.07	2.28	4.16
80	0.03	0.05	2.28	4.1
81	0.02	0.04	2.28	4.02
82	0.02	0.04	2.28	3.94
83	0.02	0.03	2.28	3.88
84	0.02	0.02	2.28	3.79
85	0.01	0.02	2.28	3.72
86	0.01	0.02	2.28	3.66
87	0	0.01	2.28	3.57
88	0	0.01	2.28	3.49
89	0	0.01	2.28	3.43
90	0	0.01	2.28	3.34
91	0	0.01	2.28	3.27
92	0	0	2.28	3.21
93	0	0	2.28	3.16
94	0	0	2.28	3.08
95	0	0	2.28	3.01
96	0	0	2.28	2.94
97	0	0	2.28	2.86
98	0	0	2.28	2.79
99	0	0	2.28	2.71
100	0	0	2.28	2.63

